,ID,Name,Dia_chi,Dan_toc,So_thich_ca_nhan,Tuoi,Gioi_tinh,Ngoai_ngu,Y_thuc_trach_nhiem,Hot_work,Bang_cap,Xep_loai_bang,Truong_dao_tao,Mang_cong_viec,Nam_kinh_nghiem,So_truong,Vi_tri,He_so_trach_nhiem,Thanh_tich,Nguong_luong,Nang_luc_work,Thoi_gian_gan_bo,Luong_cu,Luong
0,FSI_0,Ngoc,Tinh le,Kinh,xem phim,31,Nam,Khong chung chi,D,B,Cao dang,Xuat sac,HUST,Lap trinh vien,12,Ruby,Truong phong,4.0,None,25,A,0,56.0,58.8
1,FSI_1,Ron,Tinh le,Dao,Cau long,18,Nam,Tieng anh toiec,C,D,Thac si,kha,HUST,PM,0,None,Nhan vien,1.0,None,30,A,1,29.0,30.45
2,FSI_2,Ron,Tinh le,Kinh,Yoga,23,Nu,Tieng Phap,D,D,Khong bang cap,Khong xep loai,Khong di hoc,Tu van ban hang,4,None,Nhan vien,1.0,None,15,A,2,8.0,8.4
3,FSI_3,Hermione,Tinh le,Kinh,Nghe nhac,22,Nu,Tieng anh toiec,A,B,Cao dang,Gioi,TLU,Lap trinh vien,3,Ruby,Nhan vien,1.0,None,25,B,1,14.0,14.7
4,FSI_4,Harry,Tinh le,Kinh,Nghe nhac,38,Nu,Tieng Trung,C,A,Cao dang,Gioi,HUST,Lap trinh vien,8,ios,Nhan vien,1.0,None,25,D,1,17.0,17.85
5,FSI_5,Nam,Tinh le,Kinh,Cau ca,52,Nam,Khong chung chi,D,A,Dai hoc,kha,USTH,Lap trinh vien,28,ios,Nhan vien,1.0,None,25,A,13,16.0,16.8
6,FSI_6,Ron,Tinh le,Nung,Nghe nhac,18,Nu,Tieng Phap,A,D,Khong bang cap,Khong xep loai,Khong di hoc,Tu van ban hang,0,None,Nhan vien,1.0,None,15,B,0,8.0,8.4
7,FSI_7,Luna,Tinh le,Kinh,Da bong,37,Nu,Tieng anh toiec,D,A,Dai hoc,Trung binh,HNUE,Lap trinh vien,4,ios,Nhan vien,1.0,None,25,C,4,11.0,11.55
8,FSI_8,Ron,Tinh le,Kinh,xem phim,20,Nu,Tieng Phap,A,A,Cao dang,kha,UTC,Lap trinh vien,1,ios,Nhan vien,1.0,Oympic toan,25,C,1,15.0,15.75
9,FSI_9,Ron,Tinh le,Kinh,Yoga,29,Nam,Tieng Nhat,B,D,Dai hoc,Xuat sac,VNU,Tu van ban hang,2,None,Nhan vien,1.0,None,15,D,3,7.0,7.35
10,FSI_10,Ngoc,Tinh le,Kinh,Yoga,18,Nam,Khong chung chi,C,D,Cao dang,kha,HAUI,Tu van ban hang,0,None,Nhan vien,1.0,None,15,B,0,4.0,4.2
11,FSI_11,Nam,Tinh le,Kinh,Yoga,24,Nam,Khong chung chi,C,D,Thac si,Trung binh,VNU,BA,1,None,Teamlead,1.5,Khoa hoc sang tao,25,A,5,24.0,25.2
12,FSI_12,Luna,Tinh le,Kinh,Gym,26,Nam,Tieng Phap,A,B,Dai hoc,kha,UTC,Lap trinh vien,7,Ruby,Nhan vien,1.0,None,25,C,6,8.0,8.4
13,FSI_13,Luna,Tinh le,Kinh,Da bong,44,Nu,Tieng anh toiec,A,D,Cao dang,Xuat sac,EPU,Ke toan,23,None,Nhan vien,1.0,None,15,A,14,7.0,7.35
14,FSI_14,Ngoc,Tinh le,Kinh,Cau ca,20,Nu,Khong chung chi,D,D,Cao dang,Trung binh,TLU,Tu van ban hang,1,None,Nhan vien,1.0,None,15,A,0,14.0,14.7
15,FSI_15,Ron,Tinh le,Mong,Cau ca,29,Nam,Tieng anh toiec,C,B,Dai hoc,Trung binh,USTH,Ky su R&D,6,Tools,Nhan vien,1.0,None,25,A,2,18.0,18.9
16,FSI_16,Lan,Tinh le,Kinh,xem phim,29,Nam,Tieng anh toiec,A,D,Khong bang cap,Khong xep loai,Khong di hoc,BA,9,None,Nhan vien,1.0,Khoa hoc sang tao,25,A,10,5.0,5.25
17,FSI_17,Luna,Tinh le,Kinh,Gym,32,Nam,Tieng anh toiec,A,B,Dai hoc,Trung binh,UTC,Lap trinh vien,4,Android,Nhan vien,1.0,None,25,D,2,17.0,17.85
18,FSI_18,Long,Ha Noi,Kinh,Yoga,32,Nam,Tieng anh toiec,D,C,Cao dang,Gioi,HAUI,Lap trinh vien,5,PHP,Nhan vien,1.0,None,25,D,12,17.0,17.85
19,FSI_19,Nam,Tinh le,Kinh,Cau long,26,Nu,Tieng anh toiec,B,B,Dai hoc,Trung binh,USTH,Lap trinh vien,3,Android,Nhan vien,1.0,olympic tin,25,C,4,15.0,15.75
20,FSI_20,Ron,Ha Noi,Ede,xem phim,35,Nu,Khong chung chi,B,C,Cao dang,Gioi,HNUE,Lap trinh vien,4,PHP,Nhan vien,1.0,None,25,C,6,9.0,9.45
21,FSI_21,Lan,Tinh le,Kinh,Da bong,20,Nam,Khong chung chi,C,B,Cao dang,Gioi,EPU,Lap trinh vien,0,Android,Nhan vien,1.0,None,25,A,1,22.0,23.1
