,Unnamed: 0,ID,Name,Dia_chi,Dan_toc,So_thich_ca_nhan,Tuoi,Gioi_tinh,Ngoai_ngu,Y_thuc_trach_nhiem,Hot_work,Bang_cap,Xep_loai_bang,Truong_dao_tao,Mang_cong_viec,Nam_kinh_nghiem,So_truong,Vi_tri,He_so_trach_nhiem,Thanh_tich,Nguong_luong,Nang_luc_work,Thoi_gian_gan_bo,Luong_cu,Luong,Unnamed: 0,ID,di_muon,di_ve_som,vang_co_phep,vang_khong_phep,OT,muc_tieu_dat_duoc,du_an,chat_luong_du_an,thoi_han_hop_dong,ngay_danh_gia_cuoi,so_nam_o_cong_ty,so_nam_trong_vi_tri_hien_tai,ngay_tang_luong_cuoi,tinh_trang_lam_viec,tinh_trang_hon_nhan,so_con,chieu_cao,can_nang,tinh_trang_suc_khoe,Hut_thuoc,Uong_ruou_bia,Phuong_tien_di_chuyen
0,0,FSI_0,Ngoc,Tinh le,Kinh,xem phim,31,Nam,Khong chung chi,D,B,Cao dang,Xuat sac,HUST,Lap trinh vien,12,Ruby,Truong phong,4.0,None,25,A,0,56.0,58.8,0,FSI_1,2,3,0,4,2,90,1,1,1,18/09/2019 ,3,0,12/08/2020 ,part time,chua co gia dinh,2,150,60,dang bi benh,co,khong,xe may
1,1,FSI_1,Ron,Tinh le,Dao,Cau long,18,Nam,Tieng anh toiec,C,D,Thac si,kha,HUST,PM,0,None,Nhan vien,1.0,None,30,A,1,29.0,30.45,1,FSI_2,4,5,1,4,1,90,1,1,1,18/10/2019 ,1,1,13/02/2020 ,nghi phep,chua co gia dinh,2,170,60,khong bi benh,co,co,xe may
2,2,FSI_2,Ron,Tinh le,Kinh,Yoga,23,Nu,Tieng Phap,D,D,Khong bang cap,Khong xep loai,Khong di hoc,Tu van ban hang,4,None,Nhan vien,1.0,None,15,A,2,8.0,8.4,2,FSI_3,0,5,0,3,0,70,1,1,1,27/08/2020 ,5,0,13/06/2020 ,nghi phep,co gia dinh,2,175,50,khong bi benh,khong,khong,oto
3,3,FSI_3,Hermione,Tinh le,Kinh,Nghe nhac,22,Nu,Tieng anh toiec,A,B,Cao dang,Gioi,TLU,Lap trinh vien,3,Ruby,Nhan vien,1.0,None,25,B,1,14.0,14.7,3,FSI_4,0,2,1,3,1,90,5,1,2,09/12/2019 ,0,3,12/06/2020 ,nghi phep,co gia dinh,1,170,60,khong bi benh,co,khong,oto
4,4,FSI_4,Harry,Tinh le,Kinh,Nghe nhac,38,Nu,Tieng Trung,C,A,Cao dang,Gioi,HUST,Lap trinh vien,8,ios,Nhan vien,1.0,None,25,D,1,17.0,17.85,4,FSI_5,0,4,4,3,5,100,4,1,2,16/01/2020 ,2,4,20/12/2019 ,nghi phep,co gia dinh,2,170,60,khong bi benh,co,khong,bus
5,5,FSI_5,Nam,Tinh le,Kinh,Cau ca,52,Nam,Khong chung chi,D,A,Dai hoc,kha,USTH,Lap trinh vien,28,ios,Nhan vien,1.0,None,25,A,13,16.0,16.8,5,FSI_6,3,0,0,1,5,90,0,1,2,24/12/2019 ,1,0,05/07/2020 ,nghi phep,co gia dinh,1,160,70,khong bi benh,khong,co,oto
6,6,FSI_6,Ron,Tinh le,Nung,Nghe nhac,18,Nu,Tieng Phap,A,D,Khong bang cap,Khong xep loai,Khong di hoc,Tu van ban hang,0,None,Nhan vien,1.0,None,15,B,0,8.0,8.4,6,FSI_7,1,4,4,2,5,80,0,0,3,30/08/2020 ,0,0,21/11/2019 ,part time,chua co gia dinh,3,165,70,khong bi benh,khong,co,xe may
7,7,FSI_7,Luna,Tinh le,Kinh,Da bong,37,Nu,Tieng anh toiec,D,A,Dai hoc,Trung binh,HNUE,Lap trinh vien,4,ios,Nhan vien,1.0,None,25,C,4,11.0,11.55,7,FSI_8,2,1,0,3,4,70,1,1,1,12/09/2019 ,4,0,20/03/2020 ,nghi phep,co gia dinh,0,180,60,dang bi benh,khong,khong,xe may
8,8,FSI_8,Ron,Tinh le,Kinh,xem phim,20,Nu,Tieng Phap,A,A,Cao dang,kha,UTC,Lap trinh vien,1,ios,Nhan vien,1.0,Oympic toan,25,C,1,15.0,15.75,8,FSI_9,5,0,2,1,5,70,5,0,1,14/10/2019 ,3,2,29/08/2020 ,part time,chua co gia dinh,2,180,50,dang bi benh,khong,khong,bus
9,9,FSI_9,Ron,Tinh le,Kinh,Yoga,29,Nam,Tieng Nhat,B,D,Dai hoc,Xuat sac,VNU,Tu van ban hang,2,None,Nhan vien,1.0,None,15,D,3,7.0,7.35,9,FSI_10,2,4,0,2,2,100,5,4,1,06/09/2020 ,1,1,14/05/2020 ,nghi phep,co gia dinh,1,170,60,khong bi benh,co,khong,xe may
10,10,FSI_10,Ngoc,Tinh le,Kinh,Yoga,18,Nam,Khong chung chi,C,D,Cao dang,kha,HAUI,Tu van ban hang,0,None,Nhan vien,1.0,None,15,B,0,4.0,4.2,10,FSI_11,5,4,0,5,0,70,1,1,1,10/04/2020 ,2,1,12/10/2019 ,full time,chua co gia dinh,1,160,50,dang bi benh,khong,co,oto
11,11,FSI_11,Nam,Tinh le,Kinh,Yoga,24,Nam,Khong chung chi,C,D,Thac si,Trung binh,VNU,BA,1,None,Teamlead,1.5,Khoa hoc sang tao,25,A,5,24.0,25.2,11,FSI_12,1,0,3,5,3,70,0,0,1,17/12/2019 ,2,5,10/10/2019 ,nghi phep,co gia dinh,2,160,60,khong bi benh,khong,co,xe may
12,12,FSI_12,Luna,Tinh le,Kinh,Gym,26,Nam,Tieng Phap,A,B,Dai hoc,kha,UTC,Lap trinh vien,7,Ruby,Nhan vien,1.0,None,25,C,6,8.0,8.4,12,FSI_13,2,0,2,0,0,90,3,3,1,29/05/2020 ,0,0,18/10/2019 ,full time,chua co gia dinh,2,175,60,dang bi benh,khong,khong,bus
13,13,FSI_13,Luna,Tinh le,Kinh,Da bong,44,Nu,Tieng anh toiec,A,D,Cao dang,Xuat sac,EPU,Ke toan,23,None,Nhan vien,1.0,None,15,A,14,7.0,7.35,13,FSI_14,0,0,4,5,4,90,4,4,1,15/05/2020 ,0,4,04/04/2020 ,nghi phep,co gia dinh,1,170,70,dang bi benh,co,co,bus
14,14,FSI_14,Ngoc,Tinh le,Kinh,Cau ca,20,Nu,Khong chung chi,D,D,Cao dang,Trung binh,TLU,Tu van ban hang,1,None,Nhan vien,1.0,None,15,A,0,14.0,14.7,14,FSI_15,2,4,3,1,2,100,0,1,2,24/08/2020 ,0,1,25/10/2019 ,nghi phep,chua co gia dinh,1,180,40,khong bi benh,co,co,bus
15,15,FSI_15,Ron,Tinh le,Mong,Cau ca,29,Nam,Tieng anh toiec,C,B,Dai hoc,Trung binh,USTH,Ky su R&D,6,Tools,Nhan vien,1.0,None,25,A,2,18.0,18.9,15,FSI_16,4,0,0,3,0,80,0,0,2,05/07/2020 ,2,1,14/06/2020 ,full time,chua co gia dinh,1,160,40,dang bi benh,khong,co,xe may
16,16,FSI_16,Lan,Tinh le,Kinh,xem phim,29,Nam,Tieng anh toiec,A,D,Khong bang cap,Khong xep loai,Khong di hoc,BA,9,None,Nhan vien,1.0,Khoa hoc sang tao,25,A,10,5.0,5.25,16,FSI_17,0,5,0,1,4,80,5,4,1,08/03/2020 ,0,1,20/11/2019 ,part time,co gia dinh,0,180,70,dang bi benh,co,khong,oto
17,17,FSI_17,Luna,Tinh le,Kinh,Gym,32,Nam,Tieng anh toiec,A,B,Dai hoc,Trung binh,UTC,Lap trinh vien,4,Android,Nhan vien,1.0,None,25,D,2,17.0,17.85,17,FSI_18,2,0,0,0,3,90,1,0,1,22/03/2020 ,2,2,29/07/2020 ,part time,chua co gia dinh,1,150,70,khong bi benh,co,khong,xe may
18,18,FSI_18,Long,Ha Noi,Kinh,Yoga,32,Nam,Tieng anh toiec,D,C,Cao dang,Gioi,HAUI,Lap trinh vien,5,PHP,Nhan vien,1.0,None,25,D,12,17.0,17.85,18,FSI_19,0,4,2,1,4,80,0,1,2,13/01/2020 ,2,2,28/02/2020 ,full time,co gia dinh,2,150,60,dang bi benh,co,khong,bus
19,19,FSI_19,Nam,Tinh le,Kinh,Cau long,26,Nu,Tieng anh toiec,B,B,Dai hoc,Trung binh,USTH,Lap trinh vien,3,Android,Nhan vien,1.0,olympic tin,25,C,4,15.0,15.75,19,FSI_20,1,5,5,3,4,100,0,1,2,03/05/2020 ,3,1,28/04/2020 ,full time,chua co gia dinh,3,150,50,khong bi benh,co,co,bus
20,20,FSI_20,Ron,Ha Noi,Ede,xem phim,35,Nu,Khong chung chi,B,C,Cao dang,Gioi,HNUE,Lap trinh vien,4,PHP,Nhan vien,1.0,None,25,C,6,9.0,9.45,20,FSI_21,3,2,4,4,2,100,2,5,1,01/01/2020 ,0,2,09/01/2020 ,part time,chua co gia dinh,2,150,60,khong bi benh,khong,co,xe may
21,21,FSI_21,Lan,Tinh le,Kinh,Da bong,20,Nam,Khong chung chi,C,B,Cao dang,Gioi,EPU,Lap trinh vien,0,Android,Nhan vien,1.0,None,25,A,1,22.0,23.1,21,FSI_22,3,1,3,3,5,80,5,1,1,05/07/2020 ,0,0,26/03/2020 ,part time,co gia dinh,0,180,60,khong bi benh,khong,khong,bus
22,22,FSI_22,Luna,Tinh le,Kinh,Nghe nhac,28,Nam,Tieng anh toiec,A,B,Dai hoc,Xuat sac,EPU,Lap trinh vien,3,Android,Nhan vien,1.0,None,25,B,5,20.0,21.0,22,FSI_23,0,1,5,0,3,70,1,0,2,20/04/2020 ,1,2,11/06/2020 ,full time,co gia dinh,1,150,60,dang bi benh,khong,khong,xe may
23,23,FSI_23,Hermione,Tinh le,Nung,Da bong,29,Nu,Tieng anh toiec,C,B,Dai hoc,kha,UTC,Lap trinh vien,3,Ruby,Nhan vien,1.0,None,25,B,1,12.0,12.6,23,FSI_24,0,0,1,0,3,100,4,1,1,01/03/2020 ,0,0,01/04/2020 ,part time,chua co gia dinh,1,175,70,dang bi benh,co,co,xe may
24,24,FSI_24,Long,Tinh le,Kinh,Cau long,23,Nu,Khong chung chi,B,B,Cao dang,Gioi,HAUI,Lap trinh vien,1,Python,Teamlead,1.5,None,25,C,1,24.0,25.2,24,FSI_25,0,0,1,3,5,70,0,1,1,05/12/2019 ,0,2,18/08/2020 ,nghi phep,co gia dinh,0,150,50,khong bi benh,khong,co,xe may
25,25,FSI_25,Lan,Tinh le,Kinh,Gym,20,Nu,Khong chung chi,C,D,Dai hoc,Xuat sac,HAUI,Tu van ban hang,0,None,Nhan vien,1.0,Oympic toan,15,C,1,12.0,12.6,25,FSI_26,4,1,3,5,4,100,1,0,1,27/05/2020 ,1,0,24/09/2019 ,full time,co gia dinh,0,180,40,khong bi benh,khong,khong,xe may
26,26,FSI_26,Nam,Tinh le,Kinh,Gym,27,Nam,Tieng anh toiec,D,B,Cao dang,kha,USTH,Lap trinh vien,6,Python,Nhan vien,1.0,None,25,C,1,14.0,14.7,26,FSI_27,1,0,5,1,5,70,5,0,1,26/12/2019 ,0,1,27/02/2020 ,nghi phep,chua co gia dinh,0,160,50,khong bi benh,co,khong,xe may
