,ID,Name,Dia_chi,Dan_toc,So_thich_ca_nhan,Tuoi,Gioi_tinh,Ngoai_ngu,Y_thuc_trach_nhiem,Hot_work,Bang_cap,Xep_loai_bang,Truong_dao_tao,Mang_cong_viec,Nam_kinh_nghiem,So_truong,Vi_tri,He_so_trach_nhiem,Thanh_tich,Nguong_luong,Nang_luc_work,Thoi_gian_gan_bo,Luong_cu,Luong
0,FSI_0,Nam,Tinh le,Kinh,Yoga,34,Nam,Khong chung chi,D,A,Cao dang,kha,VNU,Lap trinh vien,15,Java,Nhan vien,1.0,Khoa hoc sang tao,25,A,2,17.0,19.0
1,FSI_1,Harry,Ha Noi,Kinh,Nghe nhac,21,Nam,Tieng anh toiec,B,D,Cao dang,kha,USTH,Tu van ban hang,2,None,Nhan vien,1.0,None,15,D,2,4.0,7.1
2,FSI_2,Long,Tinh le,Kinh,Da bong,18,Nam,Khong chung chi,A,D,Dai hoc,Trung binh,UTC,PM,0,None,Nhan vien,1.0,Oympic toan,30,C,1,19.0,7.0
3,FSI_3,Hermione,Tinh le,Kinh,Cau ca,23,Nam,Tieng anh toiec,C,D,Cao dang,Gioi,TLU,BA,1,None,Nhan vien,1.0,None,25,C,0,15.0,7.0
4,FSI_4,Long,Tinh le,Kinh,Cau long,21,Nu,Khong chung chi,C,B,Cao dang,kha,HAUI,Lap trinh vien,0,.NET,Nhan vien,1.0,None,25,C,2,18.0,7.0
5,FSI_5,Long,Tinh le,Kinh,xem phim,35,Nam,Khong chung chi,C,D,Dai hoc,Trung binh,HAUI,PM,5,None,Nhan vien,1.0,Khoa hoc sang tao,30,D,11,28.0,8.5
6,FSI_6,Ngoc,Tinh le,Kinh,Yoga,19,Nam,Tieng anh toiec,C,B,Dai hoc,kha,HAUI,Lap trinh vien,0,Python,Nhan vien,1.0,None,25,A,1,8.0,12.0
7,FSI_7,Lan,Tinh le,Kinh,Gym,37,Nu,Khong chung chi,A,D,Khong bang cap,Khong xep loai,Khong di hoc,BA,16,None,Nhan vien,1.0,None,25,B,2,19.0,16.0
8,FSI_8,Ngoc,Tinh le,Cham,Cau long,22,Nam,Khong chung chi,A,D,Cao dang,Trung binh,UTC,PM,1,None,Teamlead,1.5,None,30,A,0,6.0,12.0
9,FSI_9,Luna,Tinh le,Kinh,Yoga,28,Nu,Tieng anh toiec,A,D,Cao dang,Xuat sac,HAUI,Ke toan,1,None,Nhan vien,1.0,None,15,D,4,12.0,2.2
10,FSI_10,Harry,Tinh le,Kinh,xem phim,29,Nu,Khong chung chi,B,D,Dai hoc,Xuat sac,HAUI,BA,10,None,Nhan vien,1.0,None,25,C,0,5.0,14.0
11,FSI_11,Luna,Tinh le,Kinh,xem phim,56,Nu,Khong chung chi,B,D,Thac si,Trung binh,USTH,Xu ly data,17,None,Nhan vien,1.0,None,15,A,7,15.0,25.0
12,FSI_12,Long,Tinh le,Kinh,Da bong,21,Nam,Tieng anh toiec,A,D,Dai hoc,kha,HUST,PM,0,None,Nhan vien,1.0,None,30,A,2,16.0,12.0
13,FSI_13,Harry,Ha Noi,Kinh,Cau ca,23,Nu,Khong chung chi,A,D,Thac si,Gioi,VNU,Tester,3,None,Teamlead,1.5,None,15,A,1,22.5,18.0
14,FSI_14,Nam,Tinh le,Kinh,Nghe nhac,51,Nam,Khong chung chi,D,D,Cao dang,Trung binh,HUST,BA,18,None,Technical leader,1.0,None,25,A,11,23.0,30.200000000000003
15,FSI_15,Harry,Tinh le,Kinh,xem phim,21,Nam,Khong chung chi,D,D,Dai hoc,Gioi,TLU,Tu van ban hang,0,None,Nhan vien,1.0,None,15,D,2,7.0,5.0
16,FSI_16,Lan,Tinh le,Kinh,Cau long,22,Nu,Khong chung chi,A,B,Cao dang,Xuat sac,HAUI,Ky su R&D,0,Data Science,Nhan vien,1.0,None,25,C,3,13.0,7.0
17,FSI_17,Long,Tinh le,Kinh,Gym,31,Nu,Tieng anh toiec,C,D,Dai hoc,Gioi,USTH,Tu van ban hang,11,None,Nhan vien,1.0,None,15,D,12,8.0,12.0
18,FSI_18,Ron,Tinh le,Kinh,Yoga,30,Nu,Tieng anh toiec,C,A,Dai hoc,kha,VNU,Lap trinh vien,4,C++,Nhan vien,1.0,None,25,C,3,19.0,10.5
19,FSI_19,Long,Tinh le,Kinh,Yoga,19,Nam,Khong chung chi,A,D,Cao dang,kha,HNUE,Tu van ban hang,0,None,Teamlead,1.5,None,15,A,0,19.5,12.0
20,FSI_20,Harry,Tinh le,Kinh,Nghe nhac,43,Nam,Tieng Nga,A,A,Cao dang,Xuat sac,VNU,Lap trinh vien,9,ios,Nhan vien,1.0,None,25,A,10,4.0,19.0
21,FSI_21,Luna,Tinh le,Kinh,Yoga,29,Nu,Tieng anh ielts,D,D,Cao dang,Gioi,USTH,BA,3,None,Nhan vien,1.0,None,25,C,4,21.0,9.1
22,FSI_22,Long,Tinh le,Kinh,Yoga,19,Nu,Khong chung chi,C,A,Cao dang,Xuat sac,EPU,Lap trinh vien,0,C++,Nhan vien,1.0,None,25,A,1,10.0,12.0
23,FSI_23,Hermione,Tinh le,Kinh,Nghe nhac,29,Nam,Khong chung chi,C,D,Dai hoc,Trung binh,EPU,PM,4,None,Nhan vien,1.0,None,30,B,2,24.0,12.5
24,FSI_24,Lan,Tinh le,Kinh,Da bong,29,Nu,Tieng anh toiec,C,C,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,1,PHP,Nhan vien,1.0,olympic tin,25,D,8,4.0,5.0
25,FSI_25,Luna,Tinh le,Ede,Nghe nhac,52,Nu,Tieng anh toiec,A,D,Dai hoc,Xuat sac,HAUI,BA,22,None,Nhan vien,1.0,Khoa hoc sang tao,25,B,2,24.0,16.0
26,FSI_26,Hermione,Tinh le,Nung,xem phim,39,Nam,Tieng anh toiec,D,C,Dai hoc,Xuat sac,HNUE,Lap trinh vien,11,PHP,Nhan vien,1.0,None,25,C,14,6.0,14.0
27,FSI_27,Nam,Tinh le,Kinh,Cau ca,22,Nam,Khong chung chi,C,A,Dai hoc,Gioi,TLU,Lap trinh vien,0,ios,Nhan vien,1.0,None,25,A,0,7.0,12.0
28,FSI_28,Luna,Tinh le,Kinh,Gym,20,Nu,Khong chung chi,D,A,Cao dang,Trung binh,VNU,Lap trinh vien,0,Java,Nhan vien,1.0,None,25,C,1,20.0,7.0
29,FSI_29,Hermione,Tinh le,Thai,xem phim,21,Nu,Khong chung chi,B,B,Cao dang,kha,UTC,Lap trinh vien,0,Ruby,Nhan vien,1.0,None,25,C,0,6.0,7.0
30,FSI_30,Luna,Tinh le,Kinh,Cau long,35,Nam,Khong chung chi,B,B,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,2,.NET,Nhan vien,1.0,None,25,C,8,5.0,9.1
31,FSI_31,Nam,Tinh le,Kinh,Cau ca,20,Nu,Tieng anh toiec,C,B,Cao dang,Xuat sac,USTH,Ky su R&D,1,Data Science,Nhan vien,1.0,None,25,C,1,6.0,7.0
32,FSI_32,Nam,Tinh le,Kinh,Nghe nhac,24,Nu,Khong chung chi,B,D,Cao dang,Gioi,HUST,Tester,3,None,Nhan vien,1.0,None,15,C,5,7.0,9.1
33,FSI_33,Lan,Tinh le,Kinh,Cau long,18,Nam,Khong chung chi,B,D,Dai hoc,kha,HAUI,Tu van ban hang,0,None,Nhan vien,1.0,None,15,C,0,12.0,7.0
34,FSI_34,Ngoc,Tinh le,Kinh,Gym,32,Nu,Tieng anh toiec,A,B,Dai hoc,Trung binh,HAUI,Lap trinh vien,7,Ruby,Nhan vien,1.0,olympic tin,25,A,7,17.0,19.0
35,FSI_35,Ngoc,Tinh le,Kinh,Yoga,26,Nu,Khong chung chi,C,B,Dai hoc,Gioi,USTH,Ky su R&D,6,Tools,Nhan vien,1.0,None,25,D,1,11.0,12.0
36,FSI_36,Harry,Tinh le,Kinh,Gym,25,Nam,Khong chung chi,A,B,Dai hoc,Trung binh,UTC,Lap trinh vien,1,Android,Nhan vien,1.0,None,25,D,2,4.0,5.0
37,FSI_37,Ngoc,Tinh le,Thai,Cau long,30,Nam,Tieng anh toiec,A,D,Khong bang cap,Khong xep loai,Khong di hoc,Tu van ban hang,4,None,Teamlead,1.5,None,15,C,9,10.5,10.5
38,FSI_38,Luna,Tinh le,Kinh,Cau long,33,Nu,Khong chung chi,D,D,Dai hoc,kha,HUST,Tester,5,None,Nhan vien,1.0,None,15,C,2,11.0,10.5
39,FSI_39,Lan,Tinh le,Kinh,Cau ca,36,Nam,Khong chung chi,D,D,Dai hoc,kha,USTH,BA,13,None,Truong phong,4.0,None,25,A,8,48.0,47.0
