,ID,Name,Gioi_tinh,Bang_cap,Nghe_nghiep,Nam_kinh_nghiem,Luong
0,0,Harry,Nu,Dai_hoc,Giang_vien,25,19
1,1,Hermione,Nam,Tien_si,Thu_ky,31,7.1
2,2,Luna,Nam,Pho_thong,Massage,21,7
3,3,Nam,Nu,Pho_thong,Giam_doc,10,7
4,4,Luna,Nam,Pho_thong,Ke_toan,26,7
5,5,Long,Nu,Dai_hoc,Giang_vien,36,8.5
6,6,Ron,,Tien_si,Giao_Vien,11,12
7,7,Hermione,Nam,Tien_si,Giang_vien,10,16
8,8,Ron,Nu,Cao_hoc,Giang_vien,9,12
9,9,Luna,Nam,Pho_thong,Truong_phong,17,2.2
10,10,Ngoc,,Pho_thong,Truong_phong,21,14
11,11,Long,,Tien_si,Giang_vien,9,25
12,12,Luna,Nu,Tien_si,Maketting,5,12
13,13,Hermione,Nu,Pho_thong,Giang_vien,3,18
14,14,Nam,Nu,Cao_hoc,Truong_phong,32,30.2
15,15,Nam,,Dai_hoc,Truong_phong,17,5
16,16,Ron,Nu,Pho_thong,Giao_Vien,25,7
17,17,Luna,Nu,Tien_si,Ke_toan,6,12
18,18,Hermione,Nam,Pho_thong,Giang_vien,35,10.5
19,19,Harry,Nu,Tien_si,Ke_toan,26,12
20,20,Lan,Nu,Dai_hoc,Massage,24,19
21,21,Long,,Pho_thong,Massage,8,9.1
22,22,Hermione,Nu,Pho_thong,Giam_doc,11,12
23,23,Ron,,Dai_hoc,Maketting,35,12.5
24,24,Ngoc,,Cao_hoc,Ke_toan,9,5
25,25,Harry,,Tien_si,Giao_Vien,18,16
26,26,Lan,Nu,Pho_thong,Ke_toan,7,14
27,27,Harry,Nam,Tien_si,Lap_trinh_vien,13,12
28,28,Luna,Nam,Pho_thong,Ke_toan,14,7
29,29,Long,Nu,Cao_hoc,Giam_doc,10,7
30,30,Luna,Nu,Tien_si,Giam_doc,25,9.1
31,31,Nam,Nu,Dai_hoc,Maketting,16,7
32,32,Harry,,Dai_hoc,Lap_trinh_vien,35,9.1
33,33,Luna,,Pho_thong,Truong_phong,18,7
34,34,Luna,Nu,Tien_si,Truong_phong,9,19
35,35,Hermione,Nu,Pho_thong,Lap_trinh_vien,5,12
36,36,Nam,Nam,Tien_si,Truong_phong,19,5
37,37,Ngoc,Nu,Dai_hoc,Giam_doc,12,10.5
38,38,Hermione,Nam,Dai_hoc,Lap_trinh_vien,13,10.5
39,39,Luna,Nam,Pho_thong,Giao_Vien,11,47
40,40,Long,Nam,Tien_si,Giao_Vien,8,9
41,41,Long,Nu,Cao_hoc,Massage,26,11.1
42,42,Ngoc,Nu,Dai_hoc,Thu_ky,18,5
43,43,Ron,,Cao_hoc,Maketting,21,14
44,44,Lan,,Tien_si,Giang_vien,6,9
45,45,Long,,Tien_si,Truong_phong,12,7
46,46,Harry,Nu,Cao_hoc,Giang_vien,4,11.1
47,47,Ron,Nam,Pho_thong,Giang_vien,9,9.1
48,48,Luna,Nu,Cao_hoc,Maketting,36,5
49,49,Ngoc,,Cao_hoc,Ke_toan,27,5
50,50,Lan,Nam,Cao_hoc,Thu_ky,10,5
51,51,Hermione,Nu,Pho_thong,Truong_phong,9,7
52,52,Luna,,Dai_hoc,Maketting,31,19
53,53,Ron,Nam,Cao_hoc,Maketting,35,9
54,54,Lan,Nu,Cao_hoc,Truong_phong,3,12
55,55,Luna,Nam,Dai_hoc,Giam_doc,19,7
56,56,Ngoc,Nam,Pho_thong,Giang_vien,34,7
57,57,Nam,Nam,Pho_thong,Lap_trinh_vien,36,10.5
58,58,Nam,Nu,Pho_thong,Giao_Vien,16,7.46
59,59,Luna,Nam,Cao_hoc,Massage,1,15
60,60,Luna,Nu,Cao_hoc,Ke_toan,31,14.1
61,61,Ron,Nam,Pho_thong,Giam_doc,19,5
62,62,Ngoc,Nu,Dai_hoc,Truong_phong,8,19
63,63,Ngoc,Nam,Cao_hoc,Giao_Vien,35,7
64,64,Hermione,Nu,Pho_thong,Giam_doc,22,14.1
65,65,Nam,Nam,Pho_thong,Giang_vien,25,8.5
66,66,Ron,,Tien_si,Maketting,12,12
67,67,Harry,,Dai_hoc,Ke_toan,26,20.12
68,68,Nam,,Tien_si,Lap_trinh_vien,2,12
69,69,Luna,Nam,Tien_si,Giang_vien,14,9
70,70,Ngoc,Nu,Cao_hoc,Massage,33,7.1
71,71,Ron,Nu,Cao_hoc,Giao_Vien,30,7.46
72,72,Hermione,,Cao_hoc,Giao_Vien,22,12
73,73,Nam,Nam,Cao_hoc,Truong_phong,35,11.1
74,74,Harry,,Dai_hoc,Giang_vien,7,7.1
75,75,Nam,,Pho_thong,Lap_trinh_vien,23,14
76,76,Long,Nu,Cao_hoc,Lap_trinh_vien,27,12
77,77,Ngoc,Nu,Dai_hoc,Massage,23,10.5
78,78,Ngoc,Nam,Tien_si,Giam_doc,18,7
79,79,Ngoc,Nam,Pho_thong,Giam_doc,20,7
80,80,Lan,Nu,Tien_si,Ke_toan,20,12
81,81,Hermione,Nu,Cao_hoc,Maketting,15,12
82,82,Luna,Nu,Pho_thong,Thu_ky,32,14.1
83,83,Long,Nu,Dai_hoc,Giam_doc,27,7
84,84,Lan,,Pho_thong,Thu_ky,19,16
85,85,Luna,Nam,Pho_thong,Maketting,34,12.5
86,86,Hermione,Nu,Cao_hoc,Giam_doc,24,11.1
87,87,Long,,Dai_hoc,Lap_trinh_vien,9,15.5
88,88,Nam,Nam,Pho_thong,Giao_Vien,8,20
89,89,Lan,Nu,Tien_si,Lap_trinh_vien,26,12
90,90,Luna,,Tien_si,Lap_trinh_vien,18,14
91,91,Harry,Nam,Dai_hoc,Massage,33,18
92,92,Nam,,Tien_si,Ke_toan,12,16
93,93,Luna,Nam,Cao_hoc,Giam_doc,29,5
94,94,Long,Nam,Tien_si,Maketting,35,5
95,95,Luna,Nam,Tien_si,Thu_ky,36,15.5
96,96,Lan,Nam,Dai_hoc,Giam_doc,20,9
97,97,Lan,Nam,Pho_thong,Lap_trinh_vien,11,12
98,98,Lan,Nam,Dai_hoc,Lap_trinh_vien,9,12
99,99,Ngoc,,Tien_si,Thu_ky,11,9
100,100,Ron,,Cao_hoc,Giao_Vien,25,9.1
101,101,Ngoc,Nu,Cao_hoc,Lap_trinh_vien,30,9.1
102,102,Hermione,Nu,Tien_si,Ke_toan,26,12
103,103,Lan,,Pho_thong,Truong_phong,30,17
104,104,Luna,,Cao_hoc,Maketting,35,47
105,105,Hermione,Nam,Cao_hoc,Maketting,26,9.1
106,106,Lan,,Cao_hoc,Giao_Vien,24,6.2
107,107,Nam,Nam,Cao_hoc,Maketting,9,5
108,108,Ngoc,Nam,Tien_si,Maketting,21,14
109,109,Nam,Nam,Cao_hoc,Giam_doc,28,14
110,110,Luna,Nam,Cao_hoc,Giam_doc,26,9
111,111,Long,Nu,Tien_si,Giam_doc,4,12
112,112,Luna,Nu,Tien_si,Ke_toan,2,12
113,113,Lan,Nam,Pho_thong,Thu_ky,31,8.5
114,114,Luna,Nam,Pho_thong,Giam_doc,31,12.5
115,115,Ron,,Pho_thong,Thu_ky,32,7.1
116,116,Luna,Nam,Cao_hoc,Lap_trinh_vien,22,19
117,117,Lan,,Tien_si,Maketting,33,16
118,118,Long,Nam,Cao_hoc,Lap_trinh_vien,7,16
119,119,Harry,,Cao_hoc,Thu_ky,27,5
120,120,Long,Nam,Dai_hoc,Thu_ky,4,20
121,121,Hermione,,Cao_hoc,Maketting,27,14.1
122,122,Nam,Nam,Dai_hoc,Ke_toan,35,11.1
123,123,Luna,,Tien_si,Maketting,15,12.5
124,124,Ron,Nam,Tien_si,Giao_Vien,3,7
125,125,Long,Nam,Cao_hoc,Giang_vien,26,11.1
126,126,Hermione,Nam,Pho_thong,Thu_ky,26,14
127,127,Harry,Nam,Dai_hoc,Giam_doc,35,12
128,128,Lan,Nu,Dai_hoc,Massage,6,14
129,129,Luna,Nu,Dai_hoc,Maketting,36,12
130,130,Long,Nam,Pho_thong,Ke_toan,13,16
131,131,Long,Nam,Tien_si,Maketting,8,12
132,132,Harry,Nam,Tien_si,Ke_toan,23,7
133,133,Nam,Nam,Dai_hoc,Ke_toan,29,9.1
134,134,Harry,Nu,Dai_hoc,Massage,9,9.2
135,135,Ngoc,Nu,Cao_hoc,Truong_phong,25,9
136,136,Nam,,Pho_thong,Truong_phong,19,25
137,137,Long,Nu,Cao_hoc,Ke_toan,21,12
138,138,Ngoc,Nam,Pho_thong,Ke_toan,27,15.5
139,139,Harry,Nu,Cao_hoc,Ke_toan,21,16
140,140,Ngoc,Nu,Dai_hoc,Lap_trinh_vien,26,12.5
141,141,Harry,Nu,Cao_hoc,Giang_vien,16,14.1
142,142,Ngoc,Nu,Pho_thong,Lap_trinh_vien,14,11.1
143,143,Harry,Nu,Tien_si,Lap_trinh_vien,2,19
144,144,Ngoc,Nu,Cao_hoc,Ke_toan,1,9.1
145,145,Lan,Nam,Pho_thong,Truong_phong,31,14.1
146,146,Ngoc,Nu,Dai_hoc,Ke_toan,34,4.3
147,147,Lan,Nu,Dai_hoc,Maketting,24,7
148,148,Luna,Nam,Cao_hoc,Maketting,3,15.5
149,149,Hermione,,Pho_thong,Giam_doc,11,9
150,150,Long,,Tien_si,Ke_toan,3,7
151,151,Ron,Nam,Pho_thong,Thu_ky,24,16
152,152,Luna,Nam,Cao_hoc,Lap_trinh_vien,33,14.1
153,153,Long,Nu,Dai_hoc,Ke_toan,31,8.3
154,154,Hermione,,Pho_thong,Giao_Vien,32,12
155,155,Luna,Nam,Cao_hoc,Giao_Vien,22,7.1
156,156,Harry,Nam,Tien_si,Ke_toan,6,9
