,ID,Name,Dia_chi,Dan_toc,So_thich_ca_nhan,Tuoi,Gioi_tinh,Ngoai_ngu,Y_thuc_trach_nhiem,Hot_work,Bang_cap,Xep_loai_bang,Truong_dao_tao,Mang_cong_viec,Nam_kinh_nghiem,So_truong,Vi_tri,He_so_trach_nhiem,Thanh_tich,Nguong_luong,Nang_luc_work,Thoi_gian_gan_bo,Luong_cu,Luong
0,FSI_0,Long,Ha Noi,Cham,Nghe nhac,20,Nu,Khong chung chi,A,D,Dai hoc,kha,EPU,BA,0,None,Nhan vien,1.0,olympic tin,25,C,0,24.0,7.0
1,FSI_1,Nam,Ha Noi,Kinh,Gym,27,Nam,Khong chung chi,C,B,Cao dang,kha,HNUE,Lap trinh vien,2,Android,Nhan vien,1.0,None,25,B,8,16.0,11.1
2,FSI_2,Lan,Tinh le,Kinh,Yoga,23,Nam,Khong chung chi,A,A,Dai hoc,Gioi,UTC,Lap trinh vien,4,Java,Nhan vien,1.0,None,25,B,4,7.0,12.5
3,FSI_3,Ron,Tinh le,Kinh,xem phim,26,Nam,Khong chung chi,A,B,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,5,Android,Nhan vien,1.0,None,25,D,4,18.0,8.5
4,FSI_4,Harry,Tinh le,Kinh,Cau long,33,Nu,Khong chung chi,A,D,Cao dang,Xuat sac,EPU,Tester,6,None,Teamlead,1.5,None,15,B,7,15.0,16.0
5,FSI_5,Harry,Tinh le,Kinh,Da bong,36,Nam,Tieng anh toiec,A,D,Dai hoc,Trung binh,USTH,Tu van ban hang,15,None,Nhan vien,1.0,None,15,A,9,4.0,19.0
6,FSI_6,Luna,Tinh le,Kinh,Da bong,21,Nam,Tieng Nhat,C,B,Thac si,Gioi,USTH,Lap trinh vien,2,Python,Teamlead,1.5,None,25,A,2,36.0,18.0
7,FSI_7,Harry,Ha Noi,Kinh,xem phim,23,Nam,Tieng anh toiec,D,A,Cao dang,kha,VNU,Lap trinh vien,4,C++,Nhan vien,1.0,None,25,D,3,11.0,8.5
8,FSI_8,Ngoc,Tinh le,Kinh,Yoga,18,Nam,Khong chung chi,A,A,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,0,Java,Nhan vien,1.0,None,25,D,1,11.0,5.0
9,FSI_9,Ron,Tinh le,Kinh,Cau long,39,Nu,Khong chung chi,C,B,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,20,Ruby,Nhan vien,1.0,None,25,C,1,11.0,14.0
10,FSI_10,Hermione,Tinh le,Kinh,Da bong,31,Nam,Khong chung chi,D,B,Dai hoc,Gioi,HAUI,Ky su R&D,6,Data Science,Teamlead,1.5,olympic tin,25,B,9,15.0,16.0
11,FSI_11,Harry,Tinh le,Kinh,Cau ca,33,Nu,Khong chung chi,B,A,Dai hoc,Trung binh,USTH,Lap trinh vien,6,ios,Nhan vien,1.0,None,25,D,9,6.0,12.0
12,FSI_12,Luna,Tinh le,Kinh,Nghe nhac,23,Nu,Tieng anh toiec,C,C,Dai hoc,Xuat sac,USTH,Lap trinh vien,0,PHP,Nhan vien,1.0,None,25,A,2,23.0,12.0
13,FSI_13,Long,Tinh le,Kinh,Da bong,38,Nam,Tieng anh toiec,B,A,Dai hoc,Xuat sac,UTC,Lap trinh vien,14,Java,Nhan vien,1.0,None,25,B,0,12.0,16.0
14,FSI_14,Ron,Tinh le,Kinh,Nghe nhac,29,Nu,Khong chung chi,A,A,Dai hoc,Trung binh,USTH,Lap trinh vien,9,C++,Nhan vien,1.0,None,25,B,8,7.0,16.0
15,FSI_15,Nam,Tinh le,Kinh,Da bong,28,Nam,Tieng anh ielts,C,A,Dai hoc,Gioi,UTC,Lap trinh vien,7,ios,Nhan vien,1.0,None,25,D,5,22.0,12.0
16,FSI_16,Hermione,Tinh le,Kinh,xem phim,38,Nu,Khong chung chi,D,B,Cao dang,kha,HNUE,Lap trinh vien,16,Ruby,Nhan vien,1.0,None,25,D,10,22.0,12.0
17,FSI_17,Luna,Tinh le,Kinh,Yoga,28,Nu,Khong chung chi,C,D,Cao dang,kha,VNU,Tu van ban hang,1,None,Nhan vien,1.0,None,15,C,2,12.0,7.0
18,FSI_18,Ngoc,Tinh le,Dao,xem phim,18,Nu,Khong chung chi,B,B,Cao dang,Xuat sac,UTC,Lap trinh vien,0,Android,Nhan vien,1.0,None,25,D,0,5.0,5.0
19,FSI_19,Ron,Tinh le,Kinh,Gym,24,Nam,Khong chung chi,B,B,Cao dang,Trung binh,USTH,Lap trinh vien,4,Ruby,Nhan vien,1.0,None,25,C,5,12.0,10.5
20,FSI_20,Ngoc,Tinh le,Kinh,Nghe nhac,23,Nam,Tieng anh toiec,D,D,Cao dang,Xuat sac,TLU,PM,0,None,Nhan vien,1.0,None,30,D,1,20.0,5.0
21,FSI_21,Nam,Tinh le,Kinh,Da bong,34,Nam,Tieng anh toiec,A,B,Cao dang,Trung binh,TLU,Lap trinh vien,1,.NET,Nhan vien,1.0,Oympic toan,25,A,8,8.0,12.0
22,FSI_22,Luna,Tinh le,Kinh,xem phim,29,Nu,Tieng Nga,A,C,Cao dang,Xuat sac,VNU,Lap trinh vien,4,PHP,Nhan vien,1.0,None,25,B,4,21.0,12.5
23,FSI_23,Long,Tinh le,Khome,Nghe nhac,29,Nu,Tieng anh toiec,D,B,Dai hoc,Gioi,EPU,Lap trinh vien,1,Android,Nhan vien,1.0,None,25,C,2,18.0,7.0
24,FSI_24,Luna,Tinh le,Kinh,Yoga,28,Nu,Khong chung chi,D,B,Dai hoc,kha,HUST,Ky su R&D,3,Data Science,Nhan vien,1.0,None,25,D,7,5.0,7.1
25,FSI_25,Ngoc,Tinh le,Kinh,Cau ca,21,Nam,Khong chung chi,C,D,Dai hoc,Xuat sac,HUST,PM,2,None,Nhan vien,1.0,None,30,A,0,27.0,14.1
26,FSI_26,Nam,Tinh le,Kinh,Yoga,30,Nam,Tieng anh toiec,A,B,Khong bang cap,Khong xep loai,Khong di hoc,Ky su R&D,4,NLP,Nhan vien,1.0,None,25,A,7,22.0,15.5
27,FSI_27,Long,Tinh le,Kinh,Yoga,22,Nam,Tieng anh toiec,C,D,Cao dang,kha,HNUE,BA,1,None,Nhan vien,1.0,None,25,B,2,7.0,9.0
28,FSI_28,Ron,Tinh le,Khome,xem phim,22,Nam,Khong chung chi,C,B,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,0,Ruby,Nhan vien,1.0,None,25,D,0,17.0,5.0
29,FSI_29,Hermione,Tinh le,Hoa,Cau ca,18,Nu,Tieng Nhat,B,D,Dai hoc,Gioi,EPU,Xu ly data,0,None,Nhan vien,1.0,None,15,B,0,11.0,6.2
30,FSI_30,Ngoc,Tinh le,Muong,Yoga,19,Nam,Khong chung chi,A,A,Cao dang,Gioi,EPU,Lap trinh vien,0,ios,Nhan vien,1.0,None,25,A,0,16.0,12.0
31,FSI_31,Lan,Tinh le,Kinh,Cau ca,34,Nam,Khong chung chi,D,B,Dai hoc,Trung binh,HUST,Lap trinh vien,11,Ruby,Nhan vien,1.0,None,25,C,2,9.0,14.0
32,FSI_32,Long,Tinh le,Kinh,Da bong,25,Nu,Khong chung chi,B,B,Cao dang,Gioi,USTH,Lap trinh vien,4,Android,Nhan vien,1.0,None,25,B,5,19.0,12.5
33,FSI_33,Luna,Tinh le,Kinh,Nghe nhac,27,Nam,Khong chung chi,D,B,Khong bang cap,Khong xep loai,Khong di hoc,Ky su R&D,1,NLP,Nhan vien,1.0,None,25,C,1,11.0,7.0
34,FSI_34,Ron,Tinh le,Muong,Cau ca,28,Nam,Khong chung chi,C,B,Cao dang,Gioi,UTC,Lap trinh vien,0,Ruby,Nhan vien,1.0,None,25,A,4,17.0,12.0
35,FSI_35,Nam,Tinh le,Kinh,Yoga,35,Nu,Khong chung chi,B,D,Dai hoc,Gioi,HNUE,Tu van ban hang,1,None,Nhan vien,1.0,None,15,B,8,5.0,9.0
36,FSI_36,Harry,Tinh le,Kinh,xem phim,22,Nam,Khong chung chi,A,B,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,1,Android,Nhan vien,1.0,None,25,C,3,19.0,7.0
37,FSI_37,Luna,Tinh le,Kinh,Da bong,34,Nu,Tieng anh toiec,C,B,Dai hoc,Trung binh,VNU,Lap trinh vien,1,Ruby,Teamlead,1.5,None,25,B,11,12.0,9.0
38,FSI_38,Ron,Tinh le,Kinh,Da bong,28,Nam,Khong chung chi,D,B,Dai hoc,kha,UTC,Ky su R&D,7,Data Science,Nhan vien,1.0,None,25,D,5,18.0,12.0
39,FSI_39,Luna,Tinh le,Kinh,Cau long,36,Nam,Khong chung chi,A,D,Dai hoc,Trung binh,HUST,BA,5,None,Nhan vien,1.0,None,25,C,1,7.0,10.5
40,FSI_40,Ngoc,Tinh le,Ede,Gym,24,Nam,Khong chung chi,C,B,Cao dang,Trung binh,UTC,Lap trinh vien,1,Python,Nhan vien,1.0,None,25,B,3,21.0,9.0
