,ID,Name,Gioi_tinh,Bang_cap,Nghe_nghiep,Nam_kinh_nghiem
0,0,Harry,Nu,Dai_hoc,Giang_vien,25
1,1,Hermione,Nam,Tien_si,Thu_ky,31
2,2,Luna,Nam,Pho_thong,Massage,21
3,3,Nam,Nu,Pho_thong,Giam_doc,10
4,4,Luna,Nam,Pho_thong,Ke_toan,26
5,5,Long,Nu,Dai_hoc,Giang_vien,36
6,6,Ron,,Tien_si,Giao_Vien,11
7,7,Hermione,Nam,Tien_si,Giang_vien,10
8,8,Ron,Nu,Cao_hoc,Giang_vien,9
9,9,Luna,Nam,Pho_thong,Truong_phong,17
10,10,Ngoc,,Pho_thong,Truong_phong,21
11,11,Long,,Tien_si,Giang_vien,9
12,12,Luna,Nu,Tien_si,Maketting,5
13,13,Hermione,Nu,Pho_thong,Giang_vien,3
14,14,Nam,Nu,Cao_hoc,Truong_phong,32
15,15,Nam,,Dai_hoc,Truong_phong,17
16,16,Ron,Nu,Pho_thong,Giao_Vien,25
17,17,Luna,Nu,Tien_si,Ke_toan,6
18,18,Hermione,Nam,Pho_thong,Giang_vien,35
19,19,Harry,Nu,Tien_si,Ke_toan,26
20,20,Lan,Nu,Dai_hoc,Massage,24
21,21,Long,,Pho_thong,Massage,8
22,22,Hermione,Nu,Pho_thong,Giam_doc,11
23,23,Ron,,Dai_hoc,Maketting,35
24,24,Ngoc,,Cao_hoc,Ke_toan,9
25,25,Harry,,Tien_si,Giao_Vien,18
26,26,Lan,Nu,Pho_thong,Ke_toan,7
27,27,Harry,Nam,Tien_si,Lap_trinh_vien,13
28,28,Luna,Nam,Pho_thong,Ke_toan,14
29,29,Long,Nu,Cao_hoc,Giam_doc,10
30,30,Luna,Nu,Tien_si,Giam_doc,25
31,31,Nam,Nu,Dai_hoc,Maketting,16
32,32,Harry,,Dai_hoc,Lap_trinh_vien,35
33,33,Luna,,Pho_thong,Truong_phong,18
34,34,Luna,Nu,Tien_si,Truong_phong,9
35,35,Hermione,Nu,Pho_thong,Lap_trinh_vien,5
36,36,Nam,Nam,Tien_si,Truong_phong,19
37,37,Ngoc,Nu,Dai_hoc,Giam_doc,12
38,38,Hermione,Nam,Dai_hoc,Lap_trinh_vien,13
39,39,Luna,Nam,Pho_thong,Giao_Vien,11
40,40,Long,Nam,Tien_si,Giao_Vien,8
41,41,Long,Nu,Cao_hoc,Massage,26
42,42,Ngoc,Nu,Dai_hoc,Thu_ky,18
43,43,Ron,,Cao_hoc,Maketting,21
44,44,Lan,,Tien_si,Giang_vien,6
45,45,Long,,Tien_si,Truong_phong,12
46,46,Harry,Nu,Cao_hoc,Giang_vien,4
47,47,Ron,Nam,Pho_thong,Giang_vien,9
48,48,Luna,Nu,Cao_hoc,Maketting,36
49,49,Ngoc,,Cao_hoc,Ke_toan,27
50,50,Lan,Nam,Cao_hoc,Thu_ky,10
51,51,Hermione,Nu,Pho_thong,Truong_phong,9
52,52,Luna,,Dai_hoc,Maketting,31
53,53,Ron,Nam,Cao_hoc,Maketting,35
54,54,Lan,Nu,Cao_hoc,Truong_phong,3
55,55,Luna,Nam,Dai_hoc,Giam_doc,19
56,56,Ngoc,Nam,Pho_thong,Giang_vien,34
57,57,Nam,Nam,Pho_thong,Lap_trinh_vien,36
58,58,Nam,Nu,Pho_thong,Giao_Vien,16
59,59,Luna,Nam,Cao_hoc,Massage,1
60,60,Luna,Nu,Cao_hoc,Ke_toan,31
61,61,Ron,Nam,Pho_thong,Giam_doc,19
62,62,Ngoc,Nu,Dai_hoc,Truong_phong,8
63,63,Ngoc,Nam,Cao_hoc,Giao_Vien,35
64,64,Hermione,Nu,Pho_thong,Giam_doc,22
65,65,Nam,Nam,Pho_thong,Giang_vien,25
66,66,Ron,,Tien_si,Maketting,12
67,67,Harry,,Dai_hoc,Ke_toan,26
68,68,Nam,,Tien_si,Lap_trinh_vien,2
69,69,Luna,Nam,Tien_si,Giang_vien,14
70,70,Ngoc,Nu,Cao_hoc,Massage,33
71,71,Ron,Nu,Cao_hoc,Giao_Vien,30
72,72,Hermione,,Cao_hoc,Giao_Vien,22
73,73,Nam,Nam,Cao_hoc,Truong_phong,35
74,74,Harry,,Dai_hoc,Giang_vien,7
75,75,Nam,,Pho_thong,Lap_trinh_vien,23
76,76,Long,Nu,Cao_hoc,Lap_trinh_vien,27
77,77,Ngoc,Nu,Dai_hoc,Massage,23
78,78,Ngoc,Nam,Tien_si,Giam_doc,18
79,79,Ngoc,Nam,Pho_thong,Giam_doc,20
80,80,Lan,Nu,Tien_si,Ke_toan,20
81,81,Hermione,Nu,Cao_hoc,Maketting,15
82,82,Luna,Nu,Pho_thong,Thu_ky,32
83,83,Long,Nu,Dai_hoc,Giam_doc,27
84,84,Lan,,Pho_thong,Thu_ky,19
85,85,Luna,Nam,Pho_thong,Maketting,34
86,86,Hermione,Nu,Cao_hoc,Giam_doc,24
87,87,Long,,Dai_hoc,Lap_trinh_vien,9
88,88,Nam,Nam,Pho_thong,Giao_Vien,8
89,89,Lan,Nu,Tien_si,Lap_trinh_vien,26
90,90,Luna,,Tien_si,Lap_trinh_vien,18
91,91,Harry,Nam,Dai_hoc,Massage,33
92,92,Nam,,Tien_si,Ke_toan,12
93,93,Luna,Nam,Cao_hoc,Giam_doc,29
94,94,Long,Nam,Tien_si,Maketting,35
95,95,Luna,Nam,Tien_si,Thu_ky,36
96,96,Lan,Nam,Dai_hoc,Giam_doc,20
97,97,Lan,Nam,Pho_thong,Lap_trinh_vien,11
98,98,Lan,Nam,Dai_hoc,Lap_trinh_vien,9
99,99,Ngoc,,Tien_si,Thu_ky,11
100,100,Ron,,Cao_hoc,Giao_Vien,25
101,101,Ngoc,Nu,Cao_hoc,Lap_trinh_vien,30
102,102,Hermione,Nu,Tien_si,Ke_toan,26
103,103,Lan,,Pho_thong,Truong_phong,30
104,104,Luna,,Cao_hoc,Maketting,35
105,105,Hermione,Nam,Cao_hoc,Maketting,26
106,106,Lan,,Cao_hoc,Giao_Vien,24
107,107,Nam,Nam,Cao_hoc,Maketting,9
108,108,Ngoc,Nam,Tien_si,Maketting,21
109,109,Nam,Nam,Cao_hoc,Giam_doc,28
110,110,Luna,Nam,Cao_hoc,Giam_doc,26
111,111,Long,Nu,Tien_si,Giam_doc,4
112,112,Luna,Nu,Tien_si,Ke_toan,2
113,113,Lan,Nam,Pho_thong,Thu_ky,31
114,114,Luna,Nam,Pho_thong,Giam_doc,31
